label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,000a_20201117_SRJ_HILICnegpos_0a_0_Blank_0_0_0,001_20201117_SRJ_HILICnegpos_1_SL01_P1_24hr_Vehicle_13CGln,002_20201117_SRJ_HILICnegpos_2_SL02_P1_24hr_Vehicle_13CGln,003_20201117_SRJ_HILICnegpos_3_SL03_P1_24hr_Vehicle_13CGln,004_20201117_SRJ_HILICnegpos_4_SL04_P1_24hr_0p5um_13CGln,005_20201117_SRJ_HILICnegpos_5_SL05_P1_24hr_0p5um_13CGln,006_20201117_SRJ_HILICnegpos_6_SL06_P1_24hr_0p5um_13CGln,007_20201117_SRJ_HILICnegpos_7_SL07_P1_24hr_1um_13CGln,008_20201117_SRJ_HILICnegpos_8_SL08_P1_24hr_1um_13CGln,009_20201117_SRJ_HILICnegpos_9_SL09_P1_24hr_1um_13CGln,010_20201117_SRJ_HILICnegpos_10_SL10_P3_24hr_Vehicle_13CGln,011_20201117_SRJ_HILICnegpos_11_SL11_P3_24hr_Vehicle_13CGln,012_20201117_SRJ_HILICnegpos_12_SL12_P3_24hr_Vehicle_13CGln,013_20201117_SRJ_HILICnegpos_13_SL13_P3_24hr_0p5um_13CGln,014_20201117_SRJ_HILICnegpos_14_SL14_P3_24hr_0p5um_13CGln,015_20201117_SRJ_HILICnegpos_15_SL15_P3_24hr_0p5um_13CGln,016_20201117_SRJ_HILICnegpos_16_SL16_P3_24hr_1um_13CGln,017_20201117_SRJ_HILICnegpos_17_SL17_P3_24hr_1um_13CGln,018_20201117_SRJ_HILICnegpos_18_SL18_P3_24hr_1um_13CGln,019_20201117_SRJ_HILICnegpos_19_SL19_P1_24hr_Vehicle_13CGluc,020_20201117_SRJ_HILICnegpos_20_SL20_P1_24hr_Vehicle_13CGluc,021_20201117_SRJ_HILICnegpos_21_SL21_P1_24hr_Vehicle_13CGluc,022_20201117_SRJ_HILICnegpos_22_SL22_P1_24hr_0p5um_13CGluc,023_20201117_SRJ_HILICnegpos_23_SL23_P1_24hr_0p5um_13CGluc,024_20201117_SRJ_HILICnegpos_24_SL24_P1_24hr_0p5um_13CGluc,030_20201117_SRJ_HILICnegpos_30_SL30_P3_24hr_Vehicle_13CGluc,025_20201117_SRJ_HILICnegpos_25_SL25_P1_24hr_1um_13CGluc,026_20201117_SRJ_HILICnegpos_26_SL26_P1_24hr_1um_13CGluc,027_20201117_SRJ_HILICnegpos_27_SL27_P1_24hr_1um_13CGluc,028_20201117_SRJ_HILICnegpos_28_SL28_P3_24hr_Vehicle_13CGluc,029_20201117_SRJ_HILICnegpos_29_SL29_P3_24hr_Vehicle_13CGluc,031_20201117_SRJ_HILICnegpos_31_SL31_P3_24hr_0p5um_13CGluc,032_20201117_SRJ_HILICnegpos_32_SL32_P3_24hr_0p5um_13CGluc,033_20201117_SRJ_HILICnegpos_33_SL33_P3_24hr_0p5um_13CGluc,034_20201117_SRJ_HILICnegpos_34_SL34_P3_24hr_1um_13CGluc,035_20201117_SRJ_HILICnegpos_35_SL35_P3_24hr_1um_13CGluc,036_20201117_SRJ_HILICnegpos_36_SL36_P3_24hr_1um_13CGluc
g,23,23,15,484.976196,13.163,0.819795,[M+H]+,C12 PARENT,UTP,UTP,C9H15N2O15P3,0.887,0.818038,484.976196,0,2505667.5,3812044.75,4327682,3676322.25,3430845.25,3089550,3843753.5,2837284.5,3591984,2095268.38,2158054.5,2682957,2066672.5,1991996.88,2235155.75,1849638.88,916014,1342947.5,5708141,6739516,8764247,13338660,13862785,15515783,6711961.5,16179570,20970888,18801172,3725040.75,7073051.5,6557498.5,9808338,7935978,6149643.5,5916345,6549747
,23,24,6,485.979279,13.161,0.687521,,C13-label-1,UTP,UTP,C9H15N2O15P3,0.889,0.251184,484.976196,0,402708.53,580266.12,681145.06,583516.38,541043.94,490581.66,518189.62,361636.84,488833.5,299662.66,320574.09,363375.19,266144.81,252756.41,285235.91,233223.61,89643.49,159117.2,593868.81,688251.69,885863.44,1374486.62,1524358.88,1676284.12,674869.88,1824629.12,2387842.75,2084747,372181.16,719503.94,622476.56,1052215.5,827798.81,658343.75,614795.31,732155.75
,23,25,4,486.981781,13.18,0.705093,,C13-label-2,UTP,UTP,C9H15N2O15P3,0.87,1.504,484.976196,2774.53,310437.53,468427.91,569851.06,501872.06,425396.31,410952.34,281859.78,203657.45,291944.75,233619.75,229844.67,311015.56,152288.25,130827.4,158024.36,128928.78,48696.01,76757.92,272544.53,312629.16,418745.56,553801.31,629809.19,638199.31,271780.78,733882.88,967770.75,663006.56,151205.69,293942.34,345695.16,519000.62,416539.28,342073.69,307390.72,350439.62
,23,26,7,487.986176,13.16,0.803244,,C13-label-3,UTP,UTP,C9H15N2O15P3,0.89,0.625378,484.976196,0,1194450.62,1770624.62,2222201.5,1944126.25,1499241.5,1562073.88,981525.31,630994.94,936563.38,892212.44,975159.44,1214994,635739.25,559614.19,593891.19,506475.34,207450.69,319102.41,190158.89,166145.58,201509.05,183035,203029.81,216389.12,72806.38,269620.09,389053.53,280091.69,40277.07,96597.94,132599.44,215198.61,140340.22,106531.48,108270.38,113987.3
,23,27,6,488.989899,13.161,0.720377,,C13-label-4,UTP,UTP,C9H15N2O15P3,0.889,1.373009,484.976196,0,70967.59,104359.75,129859.48,130540.08,112913.76,76228.88,46048.99,34470.88,53624.57,34697.77,42214.82,54092.75,21450.04,21121.62,37855.61,17434.55,0,2406.89,296610.22,322874.81,473271.94,302642.09,244655.31,305098.69,265547.88,211213.06,313010.56,194551.36,147358.02,280798.47,190941.94,349296.62,343833.34,180590.41,167091.53,196794.7
,23,28,6,489.992249,13.201,0.586348,,C13-label-5,UTP,UTP,C9H15N2O15P3,0.849,0.685099,484.976196,912.5,11222.41,18359.39,22241.49,28857.6,35367.59,11473.03,2675.4,0,3420.76,0,8392.68,8995.6,0,0,0,0,0,0,4725329.5,5759086.5,8418579,3991704.25,3587576.75,4426195,5094831.5,2185249,3092000,2186558.25,2755742.25,5238169,2732496.5,4617848.5,4493296.5,1943787.75,1721743.38,1947657.62
,23,29,5,490.996155,13.193,0.796006,,C13-label-6,UTP,UTP,C9H15N2O15P3,0.857,0.435081,484.976196,4108.3,0,0,0,0,0,0,0,1355.74,0,0,0,0,1435.2,0,0,0,0,0,922838.12,1200259.25,1720263.38,814886.25,765524.19,907546.81,639942.81,391040.38,596218.44,384905.41,362689.34,653440.75,259649.3,470413,478518.84,177064,145660.31,193957.09
,23,30,0,491.999359,13.198,0.057323,,C13-label-7,UTP,UTP,C9H15N2O15P3,0.852,0.124055,484.976196,0,0,0,0,0,0,4490.84,0,0,0,0,0,0,0,0,0,0,0,0,964827.62,1320598.62,1805373.88,0,0,0,858837.12,0,0,0,444754.59,855169,0,0,0,0,0,0
,23,31,1,493.002502,13.175,0.7965,,C13-label-8,UTP,UTP,C9H15N2O15P3,0.875,0.247606,484.976196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3785.93,0,358156.88,467335.38,648436.38,0,0,0,365790,0,0,0,171356.03,363950.41,2775.46,0,0,0,0,0
,23,32,0,494.00473,13.193,0.058806,,C13-label-9,UTP,UTP,C9H15N2O15P3,0.857,2.532805,484.976196,0,0,0,0,0,0,0,0,1180.02,0,0,0,0,0,0,0,0,2324.06,0,35136.18,23817.98,60661.29,0,0,0,13954.03,0,0,0,0,7785.38,0,0,0,0,0,0
g,33,33,30,390.957275,14.464,0.857257,[M+H]+,C12 PARENT,5-phosphoribosyl-1-pyrophosphate,5-phosphoribosyl-1-pyrophosphate,C5H13O14P3,-1,4.683494,390.957275,0,3481828,6700789.5,14026534,11311398,6345373,7213716.5,13682387,14184889,9555483,11849645,12434779,13490146,13328321,12951485,24072114,22421516,16858410,15399473,51727852,57607404,14794529,48395104,63577952,33889232,40921512,47333996,62412888,107227080,27571702,22549544,73042352,58710488,20710130,68827952,69071320,79913696
